jargon,short_definition,definition,easy_understanding,use_example,bad_example
数据孤岛,各部门数据各管各的,数据分散在彼此隔离的系统、部门或技术平台中，缺少统一标准、共享机制和连通能力，导致数据难以关联、统一治理和复用。,各部门的数据各管各的，互相找不到、接不上、对不齐。,多个业务系统口径不一致，形成数据孤岛，影响统一经营分析。,只是依法隔离敏感数据或按权限控制访问时，不能简单视为数据孤岛。
降维打击,换一种更强的玩法，让对手原来的优势失效。,原指科幻作品中通过降低目标所处空间维度实施的毁灭性攻击；在商业和职场语境中，通常比喻一方凭借显著更高层级的技术、资源、成本结构或商业模式优势，使对手原有竞争方式难以应对。,换一种更强的玩法，让对手原来的优势失效。,自动化平台通过规模和数据优势，对传统手工作业形成降维打击。,只是价格低一点或短期促销时，不宜夸大为降维打击。
第二曲线,老业务快到瓶颈前，提前找到下一条增长路。,在第一条增长曲线达到峰值之前，投入资源培育新的业务、能力或增长路径，使其能够在原有业务衰退前形成接续。,老业务快到瓶颈前，提前找到下一条增长路。,公司正在探索企业服务作为未来的第二曲线。,仅做一次短期促销或换个宣传口号，不构成第二曲线。
头部效应,最前面的少数玩家拿走了大部分流量、资源和机会。,市场份额、资源、注意力、流量或收益向少数领先企业、产品、创作者或平台高度集中的现象。,最前面的少数玩家拿走了大部分流量、资源和机会。,该市场头部效应明显，新进入者需要找到差异化切口。,市场份额较分散、没有明显领先者时，不宜套用头部效应。
产品矩阵,一套分工明确的产品组合,企业围绕不同市场、用户、使用场景或价格层级配置的一组相互关联的产品组合，用于覆盖需求、分配资源和规划业务增长。,不是只有一个产品，而是一套分工明确的产品组合。,公司通过基础版、专业版和行业版构建产品矩阵。,多个重复产品互相抢用户、定位不清时，不应美化为产品矩阵。
资源倾斜,资源有限时优先配置,在资源有限的情况下，依据战略优先级，将预算、人力、信贷、流量或管理注意力优先配置给重点领域、项目或对象。,资源有限时，优先把人、钱和机会给更重要的事情。,为保证核心项目按期上线，本季度将适度进行资源倾斜。,没有明确优先级和预期收益，只因个人偏好分配资源时不宜使用。
从0到1,把一件原本没有的事情第一次做出来,创造此前不存在的新产品、业务、技术或能力，并使其从概念或未验证状态形成首个可运行、可验证的成果；与复制和扩大已有模式的“从1到N”相区别。,把一件原本没有的事情第一次做出来。,本阶段目标是完成产品从0到1，并验证首批用户需求。,在成熟流程上做常规小改动，不宜夸大为从0到1。
需求洞察,需求洞察,通过观察、访谈、数据分析和情境研究，识别用户表面诉求背后的动机、未满足需求、行为规律与潜在机会，为产品或业务方向提供依据。,不只听用户说要什么，还要弄明白他为什么需要。,访谈显示用户不是缺功能，而是缺少清晰引导，这是关键需求洞察。,只凭个人猜测、没有研究证据时，不应称为洞察。
核心场景,核心场景,对目标用户或主营业务价值最重要、需求较明确，并应优先投入资源验证和建设的使用情境。,用户最需要你、最能体现产品价值的那几个情况。,报销票据自动识别是该产品的核心场景。,极少发生且与主要价值无关的边缘需求，不宜列为核心场景。
北极星指标,最能说明产品长期价值是否在变好的那个关键数字。,用于统一产品或业务方向的一项核心结果指标，能够反映客户从产品获得的核心价值，并与可持续增长存在逻辑关联；通常还需配套输入指标，不能孤立使用。,最能说明产品长期价值是否在变好的那个关键数字。,团队将每周完成有效协作的活跃团队数作为北极星指标。,短期收入或容易被刷高、与用户价值弱相关的数字，不宜直接作为北极星指标。
快速响应,看到事情后尽快回复，并说明下一步怎么办。,针对具有时效要求的信息或事件，在约定时限内完成确认、优先级判断、责任分派以及首轮处理或明确反馈。,看到事情后尽快回复，并说明下一步怎么办。,客户反馈支付失败后，值班同学需要快速响应并同步处理进展。,普通非紧急事项不能以“快速响应”为由要求他人全天候秒回。
业务闭环,把整件业务从开始、交付到结果反馈全部跑通,围绕特定业务目标，将获客、交易、交付、服务和数据反馈等必要环节连通，形成可完成、可追踪、可反馈并能够持续优化的完整流程。,不只完成其中一步，而是把整件业务从开始、交付到结果反馈全部跑通。,从获客、成交到复购的数据已打通，初步形成业务闭环。,只完成其中一个环节、后续无人负责时，不能称为闭环。
责任到人,每件事都要明确谁主责、什么时候完成，以及做到什么程度。,将每项任务、风险或检查事项明确到具体责任主体，并同步明确其权限、期限、完成标准和追踪机制。,每件事都要明确谁主责、什么时候完成，以及做到什么程度。,所有上线检查项都必须责任到人并记录完成状态。,把全部责任推给没有权限和资源的个人，不是合理的责任到人。
数据口径,数据口径,围绕某项指标或数据结果，对统计对象、业务范围、时间周期、统计粒度和计算逻辑等作统一约定，以保证不同人员和报表对同一指标得出一致、可比较的结果。,先说清楚这个数字统计谁、统计多久、怎么算，避免每个人算出不同答案。,统计活跃用户前，需要统一账号去重和时间范围的数据口径。,不同报表计算规则不一致时，不能直接比较数字。
指标体系,一套能说明业务状态的指标,围绕业务目标，将指标按层级、业务关系和用途组织起来，并统一名称、定义、统计口径和时间周期，用于监测、评价、诊断和决策。,不是只看一个数字，而是一套能说明业务状态的指标。,团队围绕增长、质量和效率建立完整指标体系。,把大量无关数字放在一起、没有目标和关系，不构成指标体系。
战略抓手,用哪件具体的事把大战略真正做起来。,用于推动战略目标落地、能够集中资源并产生关键带动作用的项目、机制、行动或能力。,用哪件具体的事把大战略真正做起来。,会员体系将作为提升复购的核心战略抓手。,日常零散任务或影响极小的动作，不宜称为战略抓手。
关键战役,这段时间必须集中力量打赢的几件大事。,在一定时期内对核心目标具有重大影响，需要集中资源、明确负责人和胜负标准推进的重点项目或行动。,这段时间必须集中力量打赢的几件大事。,双十一商家增长是本季度的关键战役。,普通例行工作或没有明确胜负标准的任务，不宜称为关键战役。
组合打法,几种办法有计划地配合使用,围绕同一目标，将多种策略、渠道、工具或行动按照分工、顺序和衡量指标协同组合的执行方案。,不只靠一招，而是几种办法有计划地配合使用。,本次拉新采用内容种草、搜索承接和会员转化的组合打法。,随意堆叠动作、彼此冲突且没有统一目标时，不宜称为组合打法。
单元测试,单独检查一个小零件是否正常,对软件中可独立验证的较小代码或行为单元进行隔离测试，以确认其按照预期工作。,单独检查一个小零件是否正常，不是把整个系统一起测。,支付金额计算逻辑修改后，需要补充单元测试覆盖边界情况。,验证多个系统之间是否能正确协作时，应称为集成测试，而不是单元测试。
灰度发布,先让一小部分人试用，没问题再全面上线。,在旧版本继续可用的前提下，将新版本按用户、流量、实例或区域逐步放量，持续观察指标和反馈，再决定继续、暂停或回滚。,先让一小部分人试用，没问题再全面上线。,新搜索功能先向5%的用户灰度发布，观察错误率和转化率。,没有分批流量、观察指标和回滚方案的普通一次性发布，不宜称为灰度发布。
风险兜底,风险兜底：提前说清楚出了问题由谁处理、什么时候启动备用方案、最多承担到什么程度。,针对已经识别的重要风险，预先确定承担主体、触发条件、所需资源、应急或替代方案以及处置边界，以便风险发生时控制损失。,提前说清楚出了问题由谁处理、什么时候启动备用方案、最多承担到什么程度。,上线前需要明确回滚方案和风险兜底责任人。,口头说“我兜底”但没有权限、资源和方案时，不算有效兜底。
实时监控,系统出问题时能尽快看到并收到提醒。,按照业务要求的较短时间间隔，持续采集、计算和展示关键指标或事件，并在触发阈值时告警，以便及时发现异常和支持处理。,系统出问题时能尽快看到并收到提醒。,大促期间需要实时监控支付成功率和接口延迟。,每天人工汇总一次、无法及时发现异常的报表，不宜称为实时监控。
高可用性,某个机器或机房出问题，服务尽量还能继续用。,工作负载在短暂故障、间歇性失败或部分组件不可用时，仍能达到约定正常运行时间或服务水平的能力，通常通过冗余、故障隔离和故障转移实现。,某个机器或机房出问题，服务尽量还能继续用。,核心交易服务采用多可用区部署，提高高可用性。,只有一台服务器、没有冗余和恢复方案时，不应宣称高可用。
服务大盘,一眼看懂系统现在健不健康的仪表盘,面向某项服务或一组服务，在统一可视化页面集中呈现请求量、响应时间、错误率、实例状态和资源使用等关键监控指标，以支持健康判断、异常定位和发布观察。,一眼看懂系统现在健不健康的仪表盘。,发布后先观察服务大盘，确认错误率和响应时间没有异常。,只展示单个临时数据截图、且不能持续监控时，不应称为服务大盘。
场景闭环,用户在这个场景里能从头到尾把事办完。,围绕特定用户或业务场景，将需求触发、关键动作、结果交付和反馈优化等必要环节连通，使目标能够在该场景内完成并被验证。,用户在这个场景里能从头到尾把事办完。,从搜索、下单到售后已形成完整的场景闭环。,用户必须跳出产品并手工完成关键步骤时，通常还未形成闭环。
服务降级,系统扛不住时先保最重要的功能，次要功能暂时简化。,在服务器压力剧增、资源紧张或依赖异常时，按照预案暂时停用或简化非核心服务，或返回兜底结果，以释放资源并保障核心业务，条件恢复后再恢复正常服务。,系统扛不住时先保最重要的功能，次要功能暂时简化。,推荐服务异常时，可降级为热门商品列表，优先保障下单。,永久删减功能或没有恢复条件的普通改版，不应称为临时服务降级。
熔断机制,下游出错先暂停调用,当对依赖服务的错误或超时达到阈值时，暂时阻断后续调用并快速失败；经过时间窗口后允许少量请求探测，恢复则关闭熔断，未恢复则继续熔断，以防止故障扩散和系统雪崩。,下游一直出错时先暂停调用，避免把整个系统拖垮。,支付依赖连续超时后触发熔断机制，避免请求持续堆积。,正常的业务校验失败或用户输入错误，不应触发系统级熔断。
用户召回,把一段时间没来的用户重新请回来。,针对已经沉默、流失或存在流失风险的用户，通过内容、权益、提醒、服务等运营手段，促使其重新活跃、使用或购买。,把一段时间没来的用户重新请回来。,我们将向高价值沉默用户发送个性化权益，开展用户召回。,对已退订或拒绝营销的用户反复发送消息，不是合规召回。
精细运营,不同用户用不同办法运营，并持续看效果。,基于用户、内容、渠道和行为数据进行更细粒度的分群、策略配置、差异化触达、服务和效果评估，并根据结果持续优化。,不同用户用不同办法运营，并持续看效果。,针对新客、活跃用户和沉默用户制定不同精细运营策略。,没有用户授权、过度收集数据或无差别骚扰，不属于合理精细运营。
分层运营,用户分组后，每组用不同的运营办法。,根据用户分层结果，为不同群体设定差异化的运营目标、内容、权益、触达渠道、频率和服务方式，并分别衡量效果。,用户分组后，每组用不同的运营办法。,高价值用户侧重专属服务，沉默用户侧重召回，这是分层运营。,只完成分组但所有人仍收到相同内容，不算真正分层运营。
内容运营,持续把合适的内容做出来、发出去，并看用户是否喜欢。,围绕用户需求和业务目标，对内容进行策划、生产或组织、分发、互动维护、效果分析和持续优化。,持续把合适的内容做出来、发出去，并看用户是否喜欢。,内容运营团队将依据搜索词和完读率优化选题。,只负责偶尔发帖、没有目标和效果复盘时，不是完整内容运营。
聚合输出,聚合输出,将来自多个系统、团队或环节的数据、材料或成果，按照统一口径完成汇总、清洗、去重、校验和结构化后，形成统一结果或对外交付物。,把各方内容收齐整理后，由一个出口统一发出。,各小组先提交材料，再由项目组聚合输出最终方案。,只是把文件机械拼接、没有统一口径和质量检查时，不宜称为聚合输出。
资源整合,把各处能用的人、钱、渠道和能力组织起来一起做事。,识别、配置并组合分散的人力、资金、渠道、数据和能力，以减少重复投入并提升整体协同效率。,把各处能用的人、钱、渠道和能力组织起来一起做事。,本次活动需要整合品牌、渠道和技术资源，形成统一方案。,未经授权占用他人资源，或只索取不交换价值，不能称为资源整合。
能力建设,不只把眼前任务做完，还要把以后能反复使用的本事留下来。,围绕长期目标，在组织、人才、技术、流程或基础设施等方面持续投入并形成可复用、可传承的能力，以支持后续业务发展和价值创造。,不只把眼前任务做完，还要把以后能反复使用的本事留下来。,本季度不仅要完成项目交付，还要同步推进团队的能力建设。,一次性完成任务、没有形成可复用方法或能力沉淀时，不宜夸大为能力建设。
横向拉通,把相关部门叫到一起，把事情谈清楚并接起来。,以共同目标为前提，协调同级或跨职能团队，统一信息、边界、接口、责任和工作节奏，使跨团队流程连通。,把相关部门叫到一起，把事情谈清楚并接起来。,项目涉及产品、研发和运营，需要先横向拉通排期与责任。,个人可独立完成、完全不涉及其他团队的任务，不需要横向拉通。
共识对齐,使相关方对要实现的目标、选择该策略的原因、各自角色责任、判断标准和下一步行动形成共同理解；不要求所有观点完全一致，但关键分歧应被记录和处理。,使相关方对要实现的目标、选择该策略的原因、各自角色责任、判断标准和下一步行动形成共同理解；不要求所有观点完全一致，但关键分歧应被记录和处理。,大家对要做什么、为什么做和怎么做达成一致。,开发前先完成共识对齐，避免各团队对成功标准理解不同。,只要求他人服从而没有讨论关键分歧，不是真正的共识对齐。
纵向协同,上下层级把目标和行动接起来，不要各做各的。,不同组织层级或上下级体系之间围绕共同目标，在任务分解、资源配置、指令传递、进度反馈和责任落实等方面进行协调联动。,上下层级把目标和行动接起来，不要各做各的。,年度目标需要通过纵向协同拆解到各业务团队。,只是单向下达命令、没有反馈和协调，不宜称为协同。
上下同欲,上下同欲：使不同组织层级围绕共同目标和优先级形成共同理解与行动意愿，并通过目标分解、信息传递、资源配置和反馈机制保持行动一致。从管理层到执行团队，大家想的是同一件事、朝同一方向用力。,使不同组织层级围绕共同目标和优先级形成共同理解与行动意愿，并通过目标分解、信息传递、资源配置和反馈机制保持行动一致。,从管理层到执行团队，大家想的是同一件事、朝同一方向用力。,年度目标发布后，需要通过沟通和拆解做到上下同欲。,只是上级单向下达命令、下级并未理解或认同时，不宜称为上下同欲。
能力中心,把一类通用能力集中建设，其他团队需要时直接调用。,围绕某一业务领域，将公共能力抽象、标准化、组件化和服务化，形成可被多个前台或业务复用的能力集合。,把一类通用能力集中建设，其他团队需要时直接调用。,用户、商品和交易可以分别建设为共享能力中心。,只是一个行政部门名称、没有可复用能力和服务输出时，不宜称为能力中心。
资源互换,双方各拿出有价值的东西合作，尽量互利。,合作各方按照约定的权利、责任、期限和价值条件，交换渠道、内容、数据、服务、技术能力或其他资源，以获得互补收益。,双方各拿出有价值的东西合作，尽量互利。,双方可通过资源互换，共享活动入口和内容权益。,单方面索取、强迫对方提供资源或价值明显失衡时，不宜称为资源互换。
降本增效,不是单纯少花钱，而是减少浪费，同时把事情做得更有效。,在不损害关键产出、质量、安全和合规的前提下，通过优化流程、资源配置和技术应用，降低单位成本并提升效率或效益。,不是单纯少花钱，而是减少浪费，同时把事情做得更有效。,通过自动化减少重复录入，实现降本增效。,单纯裁减必要人员、导致质量和风险恶化，不能算真正降本增效。
结果导向,结果导向,以目标达成度、实际工作成效和可验证成果作为评价的重要依据，同时兼顾过程质量、合规、风险和长期价值。,不只说做了多少，要看最后交付了什么、产生了什么效果。,项目复盘应以结果导向，说明目标达成度和业务影响。,不能以结果导向为由忽视合规、安全、质量和合理过程。
价值主张,告诉客户：我为你解决什么问题，为什么选我。,面向特定目标客户，清楚说明产品或服务提供的独特利益与价值，以及客户为何应选择它而不是其他方案。,告诉客户：我为你解决什么问题，为什么选我。,该产品的价值主张是帮助小商家低成本完成数字化经营。,只罗列功能、不说明客户收益和差异时，不构成清晰价值主张。
数据驱动,做决定要看可靠数据，不只凭感觉。,将数据视为重要决策资产，在明确问题、保证数据质量和理解业务背景的前提下，用数据和分析证据支持目标设定、方案选择、执行监测和结果复盘，同时兼顾隐私、合规与因果边界。,做决定要看可靠数据，不只凭感觉。,团队通过实验数据决定是否扩大新功能流量，实现数据驱动。,只挑选支持既定观点的数据，或忽视数据质量，不属于数据驱动。
价值创造,价值创造,通过产品、服务、技术、关系或运营活动，为客户、用户、合作伙伴或社会带来可感知、可验证并可持续的利益，同时支持业务健康发展。,做的事情要真正给客户或业务带来价值，不只是完成动作。,评估项目时，不只看完成了多少任务，还要看是否产生了价值创造。,只有内部工作量增加、但客户收益和业务效果没有改善时，不宜称为价值创造。
遥遥领先,比别人领先很多，但做宣传时要拿同一口径的数据证明。,形容在同一比较口径下，某一对象相对其他对象具有明显的领先优势；用于商业传播时，应明确比较对象、指标、时间范围和数据来源。,比别人领先很多，但做宣传时要拿同一口径的数据证明。,在公开测评的同一口径下，该产品的能耗指标遥遥领先。,没有数据、比较对象或统一口径时，不宜直接使用。
提质增效,既要把事情做得更好，也要做得更快、更有效。,通过改进技术、流程、管理和资源配置，在提升产品、服务或交付质量的同时提高效率或效益。,既要把事情做得更好，也要做得更快、更有效。,统一模板和自动校验可以帮助团队提质增效。,仅压缩时间但增加错误和返工，不属于提质增效。
价格敏感,价格稍微变动，用户的购买意愿就会明显变化。,消费者需求或购买行为对价格变化的响应程度；敏感度越高，较小的价格变化越可能引起较明显的购买数量或转化变化。,价格稍微变动，用户的购买意愿就会明显变化。,该客群价格敏感，应测试不同优惠门槛对转化的影响。,不能用该词评价个人经济状况，更不能将其简单等同于“穷”。
用户粘性,用户愿不愿意经常回来继续用,用户在一段时间内持续使用、重复访问、互动或复购，并维持与产品或服务关系的倾向；通常需要结合留存率、活跃频次、使用周期和复购等指标判断。,用户愿不愿意经常回来继续用。,连续四周留存提升，说明核心功能的用户粘性有所增强。,仅凭单次访问时间长，就断言用户粘性高，证据不足。
用户心智,用户心智,用户对某一品牌、产品或品类形成的相对稳定认知、联想、期待和选择倾向，这些认知会影响其记忆、比较和购买决策。,用户一想到某个需求，会不会先想到你。,品牌希望在年轻用户心智中建立“高性价比”的稳定认知。,一次曝光或短期热搜不能证明已经形成用户心智。
价值感知,用户能不能明显感觉到这个产品对自己有用,用户基于所获得的功能、体验和结果，与付出的价格、时间、精力、学习成本和风险之间的权衡，对产品或服务整体价值形成的主观评价。,用户能不能明显感觉到这个产品对自己有用。,试用期内要让用户尽快形成价值感知。,企业内部认为功能先进，不代表用户已经感知到价值。
品牌心智,用户想到某类需求时，会不会记得并优先考虑这个品牌。,消费者对品牌形成的相对稳定认知、联想、印象和偏好，以及这些认知在特定需求或购买场景中影响品牌记忆、比较和选择的程度。,用户想到某类需求时，会不会记得并优先考虑这个品牌。,本次投放除了成交，还要衡量品牌心智是否得到提升。,一次短期曝光或热搜不能直接证明已经形成稳定品牌心智。
用户画像,把典型用户是谁、需要什么、怎么使用产品说清楚。,基于合法获得的用户自然属性、行为、偏好和业务标签等数据，构建用于刻画个人或群体特征的结构化模型，以支持分析、分群、产品设计和运营决策。,把典型用户是谁、需要什么、怎么使用产品说清楚。,我们需要结合访谈和行为数据更新核心用户画像。,仅凭个别印象给所有用户贴标签，或使用敏感信息歧视用户，不属于合理画像。
用户分层,把不同类型的用户分组，分别服务。,依据明确规则，按照用户属性、行为、价值、需求或生命周期阶段，将用户划分为具有共同特征的群体，以支持差异化分析、产品设计、服务和运营。,把不同类型的用户分组，分别服务。,我们按活跃度和消费频次进行用户分层，制定不同召回策略。,使用歧视性敏感属性、或分层后没有差异化动作时不宜使用。
用户旅程,用户围绕某一目标，在一段时间内通过多个线上线下触点与产品、服务或品牌发生互动的完整过程,用户围绕某一目标，在一段时间内通过多个线上线下触点与产品、服务或品牌发生互动的完整过程，包括其行为、体验、问题和情绪变化。,用户从认识你到使用、售后和再次购买的全过程。,团队绘制用户旅程后发现，售后环节存在明显断点。,只描述应用内一个按钮操作流程时，应更准确称为用户流程。
用户留存,用户第一次来之后，还会不会继续回来。,在明确起始用户群、活跃事件和统计周期后，观察其中用户在后续周期继续使用产品或保持活跃的程度。,用户第一次来之后，还会不会继续回来。,新版本上线后，次周用户留存提高了5个百分点。,仅看新增用户数量，无法判断用户留存。
品效合一,既要品牌又要销量,在同一营销体系中，同时关注品牌认知、品牌资产等长期价值与转化、成交等可衡量经营结果，并通过人群、内容、媒体、数据和承接链路使二者相互促进。,既要让更多人记住品牌，也要带来真实销售或转化。,本次投放同时考察品牌搜索提升和成交转化，推动品效合一。,只追求产品品质与生产效率时，不应使用该营销概念。
品效协同,品牌曝光和销售转化两边一起规划、互相配合。,使品牌建设与效果转化在目标、人群、内容、媒体、预算、数据、衡量和转化承接上协调配合，使长期品牌价值与短期经营结果相互支持。,品牌曝光和销售转化两边一起规划、互相配合。,品牌内容负责建立认知，搜索和店铺负责承接转化，实现品效协同。,只把品牌和效果预算放在同一张表里、没有共同目标和数据衔接，不算协同。
增长飞轮,一个环节变好会带动另一个，越转越顺。,多个业务环节形成相互促进的循环，前一环节产生的成果为后一环节提供动力，并通过持续反馈积累增长动能。,一个环节变好会带动另一个，越转越顺。,更多优质内容吸引更多用户，用户又吸引创作者，形成增长飞轮。,只是一次性的拉新活动，没有持续反馈循环时，不应称为飞轮。
核心路径,核心路径,用户为完成产品核心任务，从起点到达目标结果所经历的关键步骤和节点。,用户完成最重要任务必须走过的那条主要路线。,注册到首次下单是当前需要优化的核心路径。,极少发生的边缘操作流程，不宜定义为核心路径。
最小闭环,先做一条最小但完整的流程，把核心价值跑通并看到结果。,为验证核心价值而保留的最小完整业务或产品流程，至少能够从明确输入经过关键动作，产生可衡量的结果和反馈。,先做一条最小但完整的流程，把核心价值跑通并看到结果。,首版只覆盖一个城市，但要跑通下单、履约和售后的最小闭环。,只做展示页面、用户无法完成核心任务时，还不构成闭环。
内容迭代,发出去后看效果，再一版一版改好。,依据内容目标、受众反馈和效果数据，对选题、结构、表达、形式、分发渠道或发布时间进行连续调整，并在每轮发布后重新评估效果。,发出去后看效果，再一版一版改好。,根据用户搜索数据，我们将对帮助文档进行内容迭代。,只是机械换标题、没有依据和目标的重复修改，不宜称为内容迭代。
种子用户,最早愿意用、愿意提意见的一批核心用户。,产品或创新早期从目标人群中筛选出的用户，他们愿意尝试尚不完善的方案、提供实质反馈，并帮助验证需求、价值或传播路径；早期用户不必然都是种子用户。,最早愿意用、愿意提意见的一批核心用户。,首版上线前，我们先邀请20名种子用户参与封闭测试。,随机领取礼品但不属于目标人群、也不参与反馈的人，不宜称为种子用户。
小步快跑,别憋一个大版本，先做小块、快点验证。,将复杂目标拆分为较小、可独立交付和验证的增量，以较短周期持续交付、获取反馈并调整下一步。,别憋一个大版本，先做小块、快点验证。,我们先以一个城市试点，小步快跑验证履约模型。,高风险且不可逆的决策若缺少充分评估，不宜只强调小步快跑。
快速试错,用小成本尽快试一试，错了就及时调整。,针对明确假设，以成本和风险可控、结果可衡量的实验快速收集证据，并据此决定继续、调整或停止；不等于无计划地反复犯错。,用小成本尽快试一试，错了就及时调整。,先用小流量测试两种方案，快速试错后再扩大投入。,在安全、医疗、合规等高风险领域不能以快速试错替代必要审查。
敏捷迭代,一小段一小段做，做完就看反馈再改。,以较短周期交付可用增量，持续检查结果、获取相关方反馈并调整计划和工作方式，在适应变化的同时保持质量与可持续节奏。,一小段一小段做，做完就看反馈再改。,团队每两周交付一个可用增量，持续进行敏捷迭代。,只追求速度、不做质量验证和复盘，不属于有效敏捷迭代。
需求验证,先证明用户真的需要，再投入大量开发。,围绕用户问题、需求强度、解决方案偏好和付费意愿等关键假设，通过访谈、原型、实验或真实行为数据收集证据，以决定继续、调整或停止。,先证明用户真的需要，再投入大量开发。,开发前先用可点击原型完成需求验证。,询问亲友“觉得好不好”而没有目标用户和行为证据，不能充分验证需求。
数据闭环,数据不只看完就结束，还要用来行动，再看行动结果。,围绕明确业务目标，将数据采集、分析、策略执行、结果监测和反馈回流连接成持续循环，使策略、流程或模型能够依据新结果不断校正。,数据不只看完就结束，还要用来行动，再看行动结果。,召回策略上线后，效果数据回流模型，形成数据闭环。,只有报表展示、没有后续动作与效果回流时，不构成数据闭环。
漏斗分析,看用户在哪一步掉得最多,在明确统计对象、步骤顺序、统计时间范围和转化周期后，将用户完成目标的连续行为建模为漏斗，计算各步骤的到达人数、转化率和流失情况，以定位问题环节。,看用户在哪一步掉得最多。,通过漏斗分析发现，填写地址到支付的转化率最低。,步骤没有明确顺序、时间窗口或统计对象时，不宜直接做漏斗比较。
归因分析,判断转化归功于哪些渠道和动作,针对目标转化事件，选择归因窗口和归因模型，将转化贡献按规则分配给前序触点或行为事件，用于比较不同渠道和行为的相对贡献。,判断一次成交或转化主要应该归功于哪些渠道和动作。,团队使用归因分析比较搜索、内容和直播对成交的贡献。,把相关性直接当作因果，或只看最后一次点击，不应宣称得到完整真实贡献。
长期主义,不只看眼前成绩，愿意为长期有价值的事持续投入。,在长期价值和方向可验证的前提下持续投入并接受短期波动，同时设置阶段性目标和反馈机制，以检验方向、积累能力并及时调整。,不只看眼前成绩，愿意为长期有价值的事持续投入。,基础能力建设需要长期主义，但也要设定阶段性验证指标。,不能用长期主义掩盖长期没有成果、没有验证或拒绝调整。
赛马机制,让不同团队同时试，按规则选效果更好的。,针对同一任务允许两个以上团队或单位平行立项、并行探索，经过阶段评审后优中选优、重点聚焦或整合方案的项目组织管理方式。,让不同团队同时试，按规则选效果更好的。,两个小组将采用赛马机制验证不同推荐策略。,没有统一目标、公平资源和评估标准，只制造内耗时不宜使用。
全域经营,整合多渠道统一看用户,整合多个渠道、场景、用户触点和数据，贯通消费者运营、品牌建设、营销转化、服务和长期经营。,把不同平台、渠道和用户数据连接起来，统一看用户、营销和生意。,品牌通过广告、店铺、会员和线下门店协同推进全域经营。,简单地在很多平台开账号，但数据和策略彼此割裂，不算全域经营。
数据中台,把分散的数据能力做成一个公共平台，让各业务都能用。,以统一数据标准和治理体系为基础，将数据集成、建模、开发、质量、安全、资产和服务等共性能力平台化，向多个业务提供可复用、可管理的数据资产与服务。,把分散的数据能力做成一个公共平台，让各业务都能用。,公司计划建设数据中台，统一指标口径并提升数据自助服务能力。,只搭建一个数据库或报表工具、没有共享治理与服务能力时，不宜称为数据中台。
业务中台,把通用功能集中做一遍，前台直接复用,将多个业务重复使用的公共业务能力进行抽象、标准化和服务化，形成可复用能力中心，为前台业务快速组合、创新和一致运营提供支撑。,把各业务都要用的通用功能集中做一遍，前台需要时直接复用。,订单、会员和库存等公共能力可以沉淀到业务中台。,仅把多个旧系统放在一起、没有能力抽象和复用时，不宜称为业务中台。
左右对齐,左右对齐：使同级或跨职能团队围绕共同目标，在指标、职责边界、依赖关系、资源安排和工作节奏上形成一致，并对关键分歧作出处理。相关部门先把目标和做法谈清楚，避免各做各的。,使同级或跨职能团队围绕共同目标，在指标、职责边界、依赖关系、资源安排和工作节奏上形成一致，并对关键分歧作出处理。,相关部门先把目标和做法谈清楚，避免各做各的。,产品、研发和运营需要先左右对齐，再确定共同排期。,只把材料发给其他部门、没有确认理解与行动一致时，不算左右对齐。
千人千面,不同的人看到不同的推荐结果。,基于用户身份、行为、兴趣、场景和实时反馈，对内容、商品或服务进行个性化选择、排序和展示，使不同用户获得差异化结果。,不同的人看到不同的推荐结果。,推荐系统根据用户兴趣实现千人千面的商品展示。,所有用户看到完全相同的固定页面时，不应称为千人千面。
点线面体,点线面体：看清自己是单个角色、业务链、平台，还是更大的生态。,曾鸣提出的智能商业战略定位框架：点是生态中的具体服务参与者或能力提供者，线是依托平台向客户提供产品或服务的商家或品牌，面是连接多方并建立协同机制的平台，体是多个面扩张、交错和融合形成的生态体。,看清自己是单个角色、业务链、平台，还是更大的生态。,在制定平台战略前，先判断业务在点线面体中的定位。,普通项目排期中的任务层级，不应机械套用点线面体。
全域种草,多渠道持续种草,围绕消费者决策路径，在内容、达人、广告和店铺等多个触点持续培育品牌或商品认知与兴趣，并通过搜索、进店、互动和成交等后续行为承接和衡量。,不只在一个平台宣传，而是在多个渠道让用户了解、感兴趣并继续往下买。,品牌通过内容平台、直播和店铺协同推进全域种草。,只在单一渠道发布一次广告、没有跨触点承接时，不宜称为全域种草。
搜索经营,把用户搜什么、看到什么、点什么和买什么连起来运营。,围绕消费者搜索需求和搜索结果，联动关键词洞察、品牌与商品供给、内容、广告、店铺承接和转化分析，持续提升品牌或商品在搜索场景中的经营表现。,把用户搜什么、看到什么、点什么和买什么连起来运营。,品牌将结合用户搜索趋势调整关键词、内容和商品承接，开展搜索经营。,只是购买几个关键词、没有商品和转化承接时，不宜称为完整的搜索经营。
拥抱变化,情况变了，做法也要跟着变，别只守着旧办法。,阿里长期使用的文化表达，强调在客户、市场、竞争和组织环境变化时保持敬畏，主动调整自身、改变做法或创造变化。,情况变了，做法也要跟着变，别只守着旧办法。,市场环境发生变化后，团队需要重新评估方案并拥抱变化。,不能用来合理化频繁、无序、缺少解释和支持的变更。
